
sample id	frequency
srr14300528	461
srr14300529	457
srr14300527	450
srr11545268	435
srr14300520	433
srr6067610	422
srr6067612	420
srr13168260	411
srr8450578	406
srr11545270	404
srr6067609	390
srr14300498	389
srr14300807	377
srr14300501	375
srr14300813	372
srr13168257	354
srr12074298	350
srr11545276	328
srr6067611	328
srr14300540	319
srr12074303	317
srr6301251	300
srr6067607	282
srr8450535	275
srr12088655	272
srr14300524	270
srr11545274	269
srr14300507	253
srr14300669	248
srr11545275	247
srr14300505	246
srr14300603	236
srr14300710	236
srr13168268	229
srr14300561	225
srr6067589	224
err2588128	223
err2588147	222
srr8450543	215
srr14300639	214
srr14300532	202
srr3166007	190
srr14300526	188
srr6067615	186
srr14300657	185
srr5808372	179
srr14300806	176
srr12074294	165
srr6067586	163
err2588129	153
srr6067619	149
srr12074295	147
srr8450537	147
srr6067618	144
srr6067588	138
srr6301245	137
srr6067614	134
srr8450545	127
srr6301250	125
err2588130	124
srr14300771	122
srr6067591	122
srr6301248	122
srr2065167	121
srr6067585	117
srr11545279	115
srr2320475	115
srr6067593	113
srr6067590	112
srr9089336	112
srr6067582	110
err2588146	108
srr11545272	108
srr14300515	107
err2588134	106
srr11545277	106
err2588127	103
srr6301256	102
srr12074305	101
err2588117	99
err2588131	99
srr14300821	89
srr12074296	87
srr14300745	87
srr2218496	87
err2588125	80
srr13168269	80
err2588132	79
srr21283110	79
err2588140	77
srr6067602	76
err2588144	75
srr5436380	72
err2588138	71
srr6301258	68
err2588118	67
err2588137	64
err2588136	60
srr14300504	60
err2588115	59
err2588126	59
err2588139	59
srr14300562	59
err2588135	58
srr8450584	58
srr12074304	55
srr14300819	55
srr6067606	54
srr9089344	54
srr2392481	53
err2588142	52
err2588119	50
srr8450582	50
srr11545271	49
srr6067605	49
srr6301262	49
err2588120	47
srr14300537	47
srr5436379	46
srr6067597	44
srr6067623	44
srr2243221	43
err2588123	42
srr22681396	40
srr6067595	40
srr6067622	40
srr12074293	39
srr2193375	39
srr2346090	39
srr5436382	39
srr8450560	39
err2588116	38
srr8450553	37
srr8450555	37
srr9089343	37
err2588122	36
srr2193668	36
srr5436381	36
srr6067616	36
srr8450549	36
srr8450562	36
srr12011906	35
srr12074299	35
srr2239272	35
srr8450547	34
srr8450551	34
err2588141	33
err2588145	33
srr8450574	33
srr12074297	31
srr5436377	31
err2588121	30
srr5436375	30
srr6301252	30
srr5436374	29
srr8450590	29
srr5436376	27
srr6301243	27
err2588143	26
srr6067613	25
srr6301254	25
srr8450541	25
srr22681395	23
srr5436378	23
srr22681389	22
srr8450592	22
srr8450570	21
srr9089346	21
srr5436383	20
srr6067604	20
srr6067625	20
srr9089342	20
err2588124	19
srr13189630	19
srr7268545	19
srr12074306	18
srr6067584	18
srr6067608	18
srr6484260	18
srr6484271	18
srr6484279	18
srr7268550	18
srr8450531	18
srr8450566	18
srr9089338	18
srr6484267	17
srr22681390	16
srr22681392	16
srr8450564	16
srr12074289	15
srr2046406	15
srr3166006	15
srr6484254	15
srr22681391	14
srr22681393	14
srr6067594	14
srr6484278	14
srr9089337	14
srr12074292	13
srr13189628	13
srr6067583	13
srr6484276	13
srr12983468	12
srr6067596	12
srr6067598	12
srr6067603	12
srr8450580	12
srr12983456	11
srr22681386	11
srr6067581	11
srr6484249	11
srr6484251	11
srr6484273	11
srr8450568	11
err2588133	10
srr6484268	10
srr8450588	10
srr9089345	10
srr6484247	9
srr6484258	9
srr6484280	9
srr8450586	9
srr12074284	8
srr13189624	8
srr6067620	8
srr6484265	8
srr7268536	8
srr7268538	8
srr7268556	8
srr9089340	8
srr6484252	7
srr6484269	7
srr6484272	7
srr6484277	7
srr7268548	7
srr12074285	6
srr12959968	6
srr12983466	6
srr12983467	6
srr6067592	6
srr6301259	6
srr6301260	6
srr6484270	6
srr7268542	6
srr9089339	6
srr12959963	5
srr20650173	5
srr6067587	5
srr6067621	5
srr6484253	5
srr6484255	5
srr6484263	5
srr6484281	5
err3972177	4
srr12959972	4
srr12983455	4
srr12983472	4
srr13189625	4
srr14726995	4
srr6067579	4
srr6067580	4
srr6484246	4
srr6484262	4
err3972171	3
err3972178	3
srr12074312	3
srr12959966	3
srr12983462	3
srr12983886	3
srr12983894	3
srr13189632	3
srr14726998	3
srr6067624	3
srr6301242	3
srr6484248	3
srr6484257	3
srr6484259	3
srr7268552	3
srr9089341	3
err3972150	2
err3972157	2
err3972166	2
err3972167	2
srr12074307	2
srr12983887	2
srr12983891	2
srr12983913	2
srr13189631	2
srr14726994	2
srr14726996	2
srr16481036	2
srr16701181	2
srr6484256	2
srr6484264	2
srr7268547	2
srr6484275	1
err2809904	0
err2809905	0
err2809906	0
err2809907	0
err2809908	0
err2809909	0
err2809910	0
err2809911	0
err2809912	0
err2809913	0
err2809914	0
err2809915	0
err2809916	0
err2809917	0
err2809918	0
err2809919	0
err2809920	0
err2809921	0
err2809922	0
err2809923	0
err2809924	0
err2809925	0
err2809926	0
err2809927	0
err2809928	0
err2809929	0
err3972151	0
err3972152	0
err3972153	0
err3972154	0
err3972155	0
err3972156	0
err3972158	0
err3972159	0
err3972160	0
err3972161	0
err3972162	0
err3972163	0
err3972164	0
err3972165	0
err3972168	0
err3972169	0
err3972170	0
err3972172	0
err3972173	0
err3972174	0
err3972175	0
err3972176	0
err3972179	0
err3972180	0
err3972181	0
err3972182	0
err3972183	0
err3972184	0
err3972185	0
err3972186	0
srr11545269	0
srr11545273	0
srr12074283	0
srr12074286	0
srr12074287	0
srr12074288	0
srr12074290	0
srr12074291	0
srr12074300	0
srr12074301	0
srr12074302	0
srr12074308	0
srr12074309	0
srr12074310	0
srr12074311	0
srr12074313	0
srr12074314	0
srr12959964	0
srr12959965	0
srr12959967	0
srr12959969	0
srr12959970	0
srr12959971	0
srr12983457	0
srr12983458	0
srr12983459	0
srr12983460	0
srr12983461	0
srr12983463	0
srr12983464	0
srr12983465	0
srr12983469	0
srr12983470	0
srr12983471	0
srr12983473	0
srr12983474	0
srr12983475	0
srr12983476	0
srr12983477	0
srr12983478	0
srr12983880	0
srr12983881	0
srr12983882	0
srr12983883	0
srr12983884	0
srr12983885	0
srr12983888	0
srr12983889	0
srr12983890	0
srr12983892	0
srr12983893	0
srr12983895	0
srr12983896	0
srr12983897	0
srr12983898	0
srr12983899	0
srr12983900	0
srr12983901	0
srr12983902	0
srr12983903	0
srr12983904	0
srr12983905	0
srr12983906	0
srr12983907	0
srr12983908	0
srr12983909	0
srr12983910	0
srr12983911	0
srr12983912	0
srr12983914	0
srr12983915	0
srr13189626	0
srr13189627	0
srr13189629	0
srr13189633	0
srr13189634	0
srr13189635	0
srr14300502	0
srr14300512	0
srr14300513	0
srr14300516	0
srr14300517	0
srr14300518	0
srr14300521	0
srr14300522	0
srr14300523	0
srr14300534	0
srr14300541	0
srr14300547	0
srr14300548	0
srr14300552	0
srr14300553	0
srr14300555	0
srr14300560	0
srr14300565	0
srr14300571	0
srr14300588	0
srr14300589	0
srr14300601	0
srr14300615	0
srr14300628	0
srr14300629	0
srr14300641	0
srr14300655	0
srr14300668	0
srr14300681	0
srr14300694	0
srr14300707	0
srr14300714	0
srr14300721	0
srr14300734	0
srr14300741	0
srr14300748	0
srr14300753	0
srr14300761	0
srr14300762	0
srr14300766	0
srr14300769	0
srr14300770	0
srr14300774	0
srr14300788	0
srr14300799	0
srr14300805	0
srr14300810	0
srr14300818	0
srr14300831	0
srr14300846	0
srr14726993	0
srr14726997	0
srr14726999	0
srr14727000	0
srr14727001	0
srr14727002	0
srr16481033	0
srr16481034	0
srr16481035	0
srr16481037	0
srr16481038	0
srr16481039	0
srr16481040	0
srr16701174	0
srr16701175	0
srr16701176	0
srr16701177	0
srr16701178	0
srr16701179	0
srr16701180	0
srr16701182	0
srr16701183	0
srr16701184	0
srr16701185	0
srr20650155	0
srr20650156	0
srr20650157	0
srr20650158	0
srr20650159	0
srr20650160	0
srr20650161	0
srr20650162	0
srr20650163	0
srr20650164	0
srr20650165	0
srr20650166	0
srr20650167	0
srr20650168	0
srr20650169	0
srr20650170	0
srr20650171	0
srr20650172	0
srr20650174	0
srr20650175	0
srr20650176	0
srr20650177	0
srr20650178	0
srr20650179	0
srr20650180	0
srr20650181	0
srr20650182	0
srr20650183	0
srr20650184	0
srr20650185	0
srr20650186	0
srr20650187	0
srr20650188	0
srr20650189	0
srr21283105	0
srr21283116	0
srr21283120	0
srr21283123	0
srr22681385	0
srr22681387	0
srr22681388	0
srr22681394	0
srr2312703	0
srr2420280	0
srr3161878	0
srr4450465	0
srr4450466	0
srr4450467	0
srr4450468	0
srr4450469	0
srr4450470	0
srr4450471	0
srr4450472	0
srr4450473	0
srr4450474	0
srr4450475	0
srr4450476	0
srr4450477	0
srr4450478	0
srr4450479	0
srr4450480	0
srr4450481	0
srr4450482	0
srr4450483	0
srr4450484	0
srr6067599	0
srr6067600	0
srr6067601	0
srr6067617	0
srr6301253	0
srr6484250	0
srr6484261	0
srr6484266	0
srr6484274	0
srr7268534	0
srr7268540	0
srr7268554	0
srr8450530	0
srr8450532	0
srr8450539	0
srr8450576	0
